CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
14125,Faculdade Presidente Antônio Carlos de Campos Altos,FUNEES Campos Altos,Faculdade,Campos Altos,MG,Extinta
2580,INSTITUTO SUPERIOR DE EDUCAÇÃO PAULO MARTINS,ISPAM,Faculdade,Brasília,DF,Extinta
2450,FACULDADE PROMOVE DE BELO HORIZONTE,PROMOVE,Faculdade,Belo Horizonte,MG,Ativa
316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,Universidade,São Paulo,SP,Ativa
4674,FACULDADE PORTO DAS ÁGUAS,FAPAG,Faculdade,Porto Belo,SC,Ativa
2806,FACULDADE EVANGÉLICA DE SÃO PAULO,null,Faculdade,São Paulo,SP,Ativa
25455,FACULDADE BELA VISTA,FBV,Faculdade,São Paulo,SP,Ativa
2741,FACULDADE CATÓLICA DOM ORIONE,FACDO,Faculdade,Araguaína,TO,Ativa
1456,FACULDADE ANHANGUERA DE SERTÃOZINHO,FASERT,Faculdade,Sertãozinho,SP,Ativa
19578,Faculdade de Tecnologia de Cotia,FATEC COTIA,Faculdade,Cotia,SP,Ativa
1836,CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB,UNIFEOB,Centro Universitário,São João da Boa Vista,SP,Ativa
15032,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,UNIARP,Universidade,Caçador,SC,Ativa
21593,Faculdade Plus,PLUS,Faculdade,Fortaleza,CE,Ativa
1898,FACULDADE DO LITORAL SUL PAULISTA,FALS,Faculdade,Praia Grande,SP,Ativa
2470,INSTITUTO SALVADOR DE ENSINO E CULTURA,ISEC,Faculdade,Salvador,BA,Ativa
19281,FACULDADE ATAME,ATAME,Faculdade,Brasília,DF,Ativa
22872,Faculdade UNIABA,FAC UNIABA,Faculdade,Brasília,DF,Ativa
1097,FACULDADES INTEGRADAS DE SÃO PAULO,FISP,Faculdade,São Paulo,SP,Extinta
4036,FACULDADE DE TECNOLOGIA DE CATALÃO,FATECA,Faculdade,Catalão,GO,Extinta
2467,FACULDADE NACIONAL DO NORTE DO PARANÁ,FANNORTE,Faculdade,Marialva,PR,Extinta
4869,Faculdade de Tecnologia Pitágotas - Unidade Londrina,null,Faculdade,Londrina,PR,Extinta
14131,Falculdade Presidente Antônio Carlos de Divisa Alegre,FUNEES Divisa Alegre,Faculdade,Divisa Alegre,MG,Extinta
18019,Faculdade do Educador,FEDUC,Faculdade,São Paulo,SP,Ativa
1670,FACULDADE ASA DE BRUMADINHO,IECEMB - FAB,Faculdade,Brumadinho,MG,Ativa
19257,Faculdade UNA de Divinópolis,Una Divinopolis,Faculdade,Divinópolis,MG,Ativa
2795,FACULDADE SÃO FRANCISCO DE ASSIS,FASFA,Faculdade,Nova Xavantina,MT,Extinta
5077,UNIVERSIDADE ESTADUAL DE RORAIMA,UERR,Universidade,Boa Vista,RR,Ativa
1625,FACULDADE REUNIDA,FAR,Faculdade,Ilha Solteira,SP,Extinta
20478,Faculdade de Tecnologia de Santana de Parnaíba,FATEC-SPB,Faculdade,Santana de Parnaíba,SP,Ativa
1396,Centro Universitário Dinâmica das Cataratas,UDC,Centro Universitário,Foz do Iguaçu,PR,Ativa
4863,FACULDADE ANHANGUERA DE POÇOS DE CALDAS,null,Faculdade,Poços de Caldas,MG,Ativa
1611,FACULDADES FATIFAJAR - FATIFAJAR ARAPOTI,null,Faculdade,Arapoti,PR,Ativa
4008,FACULDADE DE TECNOLOGIA SENAC PASSO FUNDO,SENAC PASSO FUNDO,Faculdade,Passo Fundo,RS,Extinta
2964,FACULDADE PROJEÇÃO DO GUARÁ,null,Faculdade,Brasília,DF,Ativa
